iter	Passed	Remaining
0	11	11247
1	20	10472
2	30	10166
3	40	10021
4	50	9997
5	62	10271
6	72	10237
7	81	10163
8	92	10144
9	102	10131
10	117	10546
11	128	10581
12	140	10650
13	154	10881
14	165	10854
15	175	10785
16	185	10717
17	195	10666
18	205	10622
19	215	10579
20	226	10549
21	236	10514
22	246	10483
23	257	10468
24	267	10429
25	279	10471
26	296	10681
27	310	10774
28	328	11010
29	340	11017
30	356	11134
31	367	11113
32	379	11105
33	390	11094
34	402	11090
35	414	11112
36	427	11124
37	438	11110
38	450	11090
39	460	11055
40	471	11019
41	484	11041
42	497	11074
43	510	11087
44	523	11111
45	535	11110
46	548	11116
47	559	11094
48	569	11055
49	580	11033
50	591	11010
51	601	10973
52	611	10935
53	624	10936
54	637	10957
55	651	10978
56	664	10993
57	677	11005
58	692	11039
59	706	11063
60	718	11057
61	729	11029
62	741	11023
63	755	11053
64	768	11058
65	783	11085
66	795	11072
67	807	11065
68	819	11053
69	830	11039
70	842	11030
71	854	11015
72	865	10996
73	878	10988
74	891	10993
75	907	11034
76	920	11034
77	934	11048
78	946	11032
79	956	11001
80	967	10972
81	977	10944
82	987	10913
83	998	10885
84	1008	10858
85	1019	10831
86	1029	10805
87	1039	10775
88	1049	10747
89	1060	10719
90	1070	10694
91	1080	10665
92	1091	10645
93	1103	10632
94	1113	10607
95	1123	10581
96	1136	10579
97	1146	10553
98	1156	10527
99	1171	10541
100	1183	10531
101	1195	10523
102	1209	10531
103	1221	10523
104	1231	10499
105	1242	10478
106	1255	10477
107	1268	10480
108	1279	10461
109	1293	10464
110	1307	10467
111	1317	10448
112	1329	10436
113	1341	10424
114	1352	10410
115	1363	10390
116	1373	10369
117	1388	10381
118	1401	10374
119	1416	10387
120	1430	10395
121	1443	10385
122	1455	10376
123	1466	10363
124	1478	10348
125	1490	10336
126	1501	10324
127	1513	10310
128	1528	10321
129	1544	10339
130	1560	10352
131	1576	10369
132	1596	10406
133	1612	10420
134	1628	10433
135	1643	10442
136	1656	10433
137	1667	10417
138	1678	10394
139	1688	10371
140	1698	10349
141	1708	10325
142	1718	10301
143	1729	10279
144	1739	10255
145	1750	10238
146	1762	10226
147	1774	10213
148	1785	10196
149	1795	10174
150	1805	10152
151	1815	10130
152	1826	10109
153	1836	10091
154	1847	10071
155	1858	10055
156	1869	10036
157	1879	10015
158	1890	9997
159	1901	9981
160	1911	9961
161	1922	9945
162	1933	9927
163	1943	9907
164	1953	9888
165	1965	9874
166	1975	9853
167	1985	9833
168	1995	9812
169	2005	9793
170	2015	9771
171	2025	9751
172	2035	9731
173	2045	9712
174	2056	9693
175	2067	9677
176	2076	9657
177	2087	9639
178	2097	9619
179	2107	9601
180	2117	9583
181	2127	9563
182	2137	9544
183	2147	9525
184	2157	9506
185	2168	9490
186	2180	9478
187	2190	9463
188	2200	9444
189	2211	9425
190	2221	9408
191	2230	9388
192	2240	9369
193	2251	9352
194	2261	9337
195	2272	9322
196	2282	9303
197	2292	9285
198	2302	9267
199	2312	9251
200	2322	9232
201	2332	9214
202	2342	9198
203	2352	9180
204	2362	9163
205	2373	9146
206	2382	9128
207	2394	9115
208	2404	9101
209	2415	9087
210	2426	9074
211	2437	9061
212	2449	9050
213	2464	9051
214	2475	9037
215	2487	9027
216	2501	9026
217	2514	9018
218	2526	9010
219	2537	8995
220	2548	8982
221	2559	8969
222	2570	8955
223	2580	8938
224	2589	8920
225	2600	8905
226	2611	8892
227	2621	8877
228	2632	8863
229	2642	8847
230	2654	8835
231	2667	8830
232	2678	8817
233	2692	8814
234	2704	8805
235	2716	8792
236	2726	8777
237	2736	8761
238	2746	8746
239	2760	8742
240	2771	8728
241	2785	8723
242	2797	8713
243	2808	8701
244	2818	8687
245	2829	8672
246	2839	8656
247	2850	8642
248	2860	8628
249	2871	8614
250	2881	8597
251	2890	8580
252	2900	8564
253	2910	8548
254	2920	8532
255	2930	8517
256	2940	8502
257	2951	8487
258	2963	8479
259	2976	8470
260	2986	8455
261	2999	8448
262	3012	8442
263	3025	8434
264	3035	8419
265	3045	8404
266	3056	8390
267	3066	8376
268	3077	8361
269	3087	8347
270	3098	8335
271	3112	8331
272	3123	8317
273	3135	8309
274	3150	8305
275	3162	8294
276	3172	8279
277	3182	8264
278	3192	8249
279	3202	8234
280	3212	8221
281	3223	8208
282	3234	8195
283	3245	8181
284	3255	8166
285	3265	8152
286	3277	8141
287	3290	8133
288	3301	8122
289	3314	8115
290	3325	8102
291	3335	8087
292	3347	8076
293	3356	8061
294	3366	8045
295	3377	8032
296	3387	8018
297	3399	8009
298	3412	8001
299	3424	7991
300	3438	7985
301	3451	7978
302	3462	7964
303	3473	7951
304	3483	7938
305	3494	7925
306	3507	7916
307	3518	7905
308	3529	7891
309	3539	7878
310	3549	7864
311	3561	7852
312	3576	7849
313	3589	7842
314	3604	7839
315	3616	7829
316	3628	7817
317	3641	7809
318	3656	7806
319	3670	7799
320	3686	7798
321	3698	7788
322	3712	7780
323	3723	7767
324	3733	7753
325	3744	7740
326	3754	7726
327	3765	7715
328	3777	7704
329	3789	7693
330	3801	7682
331	3811	7668
332	3825	7663
333	3837	7651
334	3848	7638
335	3858	7625
336	3869	7612
337	3880	7600
338	3892	7589
339	3903	7577
340	3917	7570
341	3966	7631
342	3983	7629
343	3993	7615
344	4004	7603
345	4015	7589
346	4025	7575
347	4035	7561
348	4046	7547
349	4057	7534
350	4071	7528
351	4084	7518
352	4098	7511
353	4110	7501
354	4121	7487
355	4132	7475
356	4142	7461
357	4152	7447
358	4162	7433
359	4172	7418
360	4183	7404
361	4194	7391
362	4204	7378
363	4215	7364
364	4225	7350
365	4235	7337
366	4246	7324
367	4256	7310
368	4266	7295
369	4276	7282
370	4286	7267
371	4296	7253
372	4307	7240
373	4319	7230
374	4330	7217
375	4340	7203
376	4351	7191
377	4365	7183
378	4376	7171
379	4390	7163
380	4402	7152
381	4413	7139
382	4423	7125
383	4433	7111
384	4443	7097
385	4453	7083
386	4463	7069
387	4474	7058
388	4486	7046
389	4498	7035
390	4508	7021
391	4519	7010
392	4530	6998
393	4541	6984
394	4551	6971
395	4562	6958
396	4577	6952
397	4588	6940
398	4600	6930
399	4614	6922
400	4625	6910
401	4636	6896
402	4647	6884
403	4658	6872
404	4668	6858
405	4678	6844
406	4688	6831
407	4699	6818
408	4708	6804
409	4716	6786
410	4725	6772
411	4736	6760
412	4747	6747
413	4757	6734
414	4767	6720
415	4777	6707
416	4787	6693
417	4797	6680
418	4807	6666
419	4820	6656
420	4830	6642
421	4840	6630
422	4850	6616
423	4861	6604
424	4871	6590
425	4881	6576
426	4891	6563
427	4901	6550
428	4911	6536
429	4920	6522
430	4930	6509
431	4943	6500
432	4958	6493
433	4972	6484
434	4988	6479
435	5001	6469
436	5013	6458
437	5024	6447
438	5035	6435
439	5047	6423
440	5058	6412
441	5069	6400
442	5081	6389
443	5092	6376
444	5102	6363
445	5113	6351
446	5125	6340
447	5135	6327
448	5144	6313
449	5154	6300
450	5164	6286
451	5175	6274
452	5188	6264
453	5202	6257
454	5214	6246
455	5228	6237
456	5240	6226
457	5255	6219
458	5266	6207
459	5278	6197
460	5293	6188
461	5304	6177
